titel;verantwoordelijken;impressum;isbn_bindwijze
Aanpassen, ontduiken en verzet : de Tweede Wereldoorlog in Vleuten, De Meern en Haarzuilens;Arnold van Dijk;Zutphen : Walburg Pers;9789464564952 - gebonden
Gezichten van de Bevrijding : de Canadese Oorlogsbegraafplaats Groesbeek;"redactie:  Frank Mehring en Jaap Verheul ; auteurs: Alice van Bekkum, Dean Burry, John Goheen, Rense Havinga, Frank Mehring, Saskia Peters, Mathilde Roza, JaapVerheul, Mark Zuehlke";Zutphen : Walburgpers;9789464564891 - gebonden
'Denken jullie nog aan ons?' : Joods leven in Zwartewaterland;Joep Boerboom en Frits Schmidt;Hilversum : Verloren;9789464551488 - gebonden
Burgemeester in oorlogstijd : de strijd in de naoorlogse tribunalen;Hans Anker;Amsterdam : Cossee;9789464522495 - paperback
Ontwapend : Belgische krijgsgevangenen in het Duitse Rijk 1940-1945;Karel Strobbe;Antwerpen  : Horizon;9789464101669 - gebonden
Een land in verzet : hoe een miljoen mensen opstonden tegen de nazi's;onder redactie van Mirjam Lange-Schoemaker en Paul van Tongeren;Amsterdam : Uitgeverij Balans;9789463824101 - paperback
Omdat ik geen lam voor de wolven wil zijn : Joods verzet in Nederland in de Tweede Wereldoorlog;Ben Braber;Amsterdam : Uitgeverij Balans;9789463824019 - paperback
Vandaag ik, morgen jij : rood, wit en zwart in Breendonk;"Jos Vander Velpen ; coverbeeld en illustraties: Fred Bervoets";Berchem : EPO;9789462675360 - paperback
Kunst voor de Führer : Erhard Göpel en de jacht op Europese meesterwerken;"Ruud Breteler ; redactie Noud Tekst & Uitleg-Arnoud Bijl";Zwolle : Waanders Uitgevers;9789462626645 - gebonden
Huis in de storm : het Mauritshuis in oorlogstijd;"onder redactie van Frank van Vree & Quinten Buvelot ; met bijdragen van Quentin Buvelot, Jona Mooren, Eelke Muller, Marie Mundliger en Frank van Vree ; met een voorwoord van Martine Gosselink & Judith Niessen ; en een nawoord van Martijn Eickhoff";Zwolle : Waanders Uitgevers;9789462626027 - gebonden
En ineens was het oorlog : mei 1940 in beeld;"redactie Erwin van Loo ; auteurs Anne Beckers [en 5 anderen] ; cartografie Erik van Oosten m.m.v. Leo van Midden";Zwolle : WBOOKS;9789462586956 - gebonden
Achtung! Ich knipse! : Duitse soldaten fotograferen in bezet Nederland;"Gerard Groeneveld ; tekstredactie Marjolein Geraedts";Zwolle : WBOOKS;9789462586932 - gebonden
De ondergedoken camera : het laatste oorlogsjaar, Amsterdam 1944-1945;tekst en samenstelling René Kok en Erik Somers;Zwolle : WBOOKS;9789462586857 - gebonden
Nederlandse bestuurders tijdens de Tweede Wereldoorlog : trouw aan volk, vijand en vaderland;onder redactie van Susan Scherpenisse [en 4 anderen];Zwolle : WBOOKS;9789462586840 - gebonden
Heb je het verhaal over Hitler al gehoord... : Suriname en de Antillen : beeldvorming over WOII;"Jules Rijssen ; redactie: Clazien Medendorp";Edam : LM Publishers;9789460229534 - paperback
Omzien en vooruitkijken : 80 jaar herdenking 15 augustus 1945;"teksten: Nanette van Beukering, Arlette Kouwenhoven, Ricci Scheldwacht, John Sijmonsbergen ; redactie: Nanette van Beukering, Frank Marcus, Hélène Oppatja, Ricci Scheldwacht ; eindredactie: Nanette van Beukering, Ricci Scheldwacht ; fotografie: Ilvy Njiokiktjien [en 17 anderen]";[Edam] : LM Publishers;9789460229398 - paperback
Ik ben zo weer terug : Eerbetoon aan de 67 omgekomen verzetsmensen uit het Oldambt;"Cees Stolk ; Stichting oorlogsverhalen Nieuwolda";Rotterdam : Maak je eigen onderwijsboek;9789403798912
Het goud van Seyss-Inquart;John Kuipers;Amsterdam : Cargo;9789403132396 - paperback
5 mei 1945 : het momentum van Wageningen;Wim Huijser, Coen Pepplinkhuizen en Jelle de Gruyter;Utrecht : Uitgeverij Omniboek;9789401921213 - paperback
Regen van verwoesting : de bombardementen op Japan, 1945;"Richard Overy ; vertaling [uit het Engels] Alexander van Kesteren";Utrecht : Uitgeverij Omniboek;9789401921015 - paperback
Bezwaard verleden : ontrechting en rechtsherstel van Joodse inwoners in de gemeenten Valkenburg-Houthem en Berg en Terblijt;René van Rijsselt, Erik van Rijsselt en Marjolein Vlieks;Amersfoort : Eurijka;9789090408736 - paperback
Panther-Stellung : een Duitse verdedigingslinie gebouwd door Nederlandse dwangarbeiders tussen IJsselmeer en Westwall (1944 - 1945);Leo van Midden;[Nederland] : Einsatz-Panther;9789090400556 - gebonden
'Voor hen die hier geen laatste rustplaats mochten hebben' : Stolpersteine in Roermond;"samenstelling: John Vaessen ; redactie Jac Lemmens";[Roermond] : Gemeente Roermond;9789090398891 - gebonden
80 jaar vrijheid : gemeenten Nunspeet, Elburg, Oldebroek;redactie: Hanneke Bloemendaal, Johanna Sijbel, Barry Wensink;[Genemuiden] : NEO Media BV;9789090398808 - gebonden
De gezichten achter het verzet : historische gebeurtenissen en verhalen over de knokploeg Westland in de regio en omstreken;Drs. Philip van den Berg;Maasland : Stichting 80 jaar vrijheid;9789090398327 - paperback
Het verhaal achter 69 namen : Tata Steel herdenkt haar slachtoffers uit de Tweede Wereldoorlog;Truus Zonneveld;[IJmuiden] : Tata Steel Nederland;9789090398211 - gebonden
Lancaster LM508 SR-P : over helden in de lucht, die vochten voor vrijheid;Corine Koek-Maasdam;[Werkendam] : Corine Tekst & Beeld;9789090392233 - gebonden
Vogelvrij : de jacht op de Joodse onderduiker;"Sytze van der Zee ; redactie Willy Hemelrijk";[Meppel] : Just Publishers;9789089758163 - paperback
Na de oorlog : hoe kinderen van overlevenden de Tweede Wereldoorlog met zich meedragen;Saskia Goldschmidt;Amsterdam : Meulenhoff;9789089682932 - gebonden
Vrije socialisten in verzet 1940-1945;Arend Hazekamp;[Grou] : Uitgeverij Louise;9789083540849 - gebonden
Tweede wereldoorlog : de praktische gids voor onderzoek naar slachtoffers van de Tweede Wereldoorlog;Erik Dijkstra;Oosterwolde (Fr) : Erfgoed uitgevers;9789083510989 - paperback
120 seconden oorlog : de provincie Groningen door de lens van de bezetter en collaborateur;Ties Groenewold;Oosterwolde (Frl.) : Erfgoed uitgevers;9789083510965 - geb.
Gorcumse gezichten van de Tweede Wereldoorlog;Sjaak Kouwenhoven;Nijkerk : Nabij Producties;9789083488820 - gebonden
Operation cannonshot : een reconstructie van de bevrijdingsgevechten: van de oversteek van de IJssel naar Apeldoorn 11 t/m 17 april 1945;Martijn L. van Essen en Joël Stoppels;Utrecht : Flying Pencil NL;9789083486215 - gebonden
De 46 van het Rademakersbroek;Kirsten Zimmerman,  m.m.v.Team Onderzoek Nationaal Onderduikmuseum;IJzerlo : UItgeverij Fagus;9789083463469 - gebonden
Arnhemmers in verzet 40-45;Margo Klijn;Arnhem : Vteken.nl;9789083387420 - gebonden
'White Lanyards : Worn with Pride' : the story of the 1st Airlanding Anti-Tank Battery R.A : a complete history 1938 to 1945;"Nigel Eric Simpson ; with original forward by: sergeant Edgar Toseland & sergeant E.H. 'Herbie' Atkinson ; with specific assistence of: battery veterans ; family members of the battery ; in Holland: Mr. Philip Reinders ; with additional help from: Mr. Geert Maassen, Mr. Secander Raisani, Mr. Marcel Zwarts";Oosthuizen : www.aviationwarbooks.nl;9789083343556 - gebonden
In het spoor van de loopgraven : spitters in het spergebied van Oosterbeek tot en met Rhenen, 1944-1945;Karin J.F. Van Veen;Oosterbeek : Graven in de vuurlinie;9789083314334 - paperback
De Luchtoorlog boven Nederland 1939-1945 : bijdragen door de Studiegroep Luchtoorlog;Ivo de Jong;Nieuwegein : Uitgeverij Geromy;9789083312262 - gebonden
Amersfoort en de oorlog : stemmen uit een bezette stad;"Richard Hoving en Wichard Maassen ; eindredactie: Bert van den Hoed";[Amersfoort] : Stichting Regionaal Spitwerk;9789083278353 - gebonden
Luftwaffe-experimenten bij de Oude Haven : het mysterie van het Würzburg Riese radarapparaat aan de Arnhemse Rijn;Martijn Reinders en Hans Timmerman;Arnhem : Uitgeverij Parkstraat;9789083159164 - paperback
De Tweede Wereldoorlog in 100 kaarten;"Jeremy Black ; vertaling [uit het Engels]: Gerrit-Jan van den Berg ; redactie: Trijnie Duut, Peter van der Horst";Hilversum : TreeBooks;9789083097640 - gebonden
Little Tobruk : de strijd rond de Thornsche Molen van september 1944 tot februari 1945;Hans van der Wiel;Ooij : Heemkundekring De Duffelt / Heimatkundeverein Die Düffel e.V.;9789082773668 - paperback
'Beter drie jaar mobilisatie dan drie minuten vechten' : voorbereiding en strijd in mei 1940 in de Achterhoek, langs de IJssel en op de Grebbeberg;Robert Ellenkamp, Jean Kreunen en Bertus de Groot;Doetinchem : Omkijkpunt;9789082674637 - gebonden
Target Waalhaven : no. 600 (City of London) Squadron : 10 mei 1940 = 10 may 1940;C.I. Stoutjesdijk;Middelharnis : Stichting WW2Research;9789082601053 - paperback
Verbonden door Veenendaal : oorlogsslachtoffers samengebracht : 1939-1945;"Margreet Helder-Huiting (redactie) ; Werkgroep Graven Oorlogsslachtoffers Munnikenhof van de Historische Vereniging Oud Veenendaal";Veenendaal : Historische Vereniging Oud Veenendaal;9789082232233 - gebonden
De Beemster in oorlogstijd 1940-1945;onder reactie van V.S.E. Falger, G. Heikens, J. de Jong, A.H. Tol;Middenbeemster : Historisch Genootschap Beemster;9789081903646 - paperback
Bauleitung Valkenburg : Organisation Todt 1944 : ondergrondse oorlogsfabrieken in Zuid-Limburg : Bronsdalgroeve, Barakkengroeve, Heidegroeve;Rob Odekerken;[S.l.] : Heemkundevereniging Houthem-St. Gerlach;9789080164680
#30#!439473489!Getuigen van de Tweede Wereldoorlog in de gemeente Uden;Adriaan Sanders;[Uden] : Stichting Uden in Geschriften;9789077471388 - paperback
Oorlog voorbij het graf : de wraakrazzia's van 1944 in de IJmond, Groningen en het Merwedegebied;Bart Vuijk & Cor Bart;Beverwijk : Historisch Genootschap Midden-Kennemerland;9789075839364 - gebonden
Het andere verhaal : van Noord-Brabant en de Noord-Brabanders in de Tweede Wereldoorlog;redactie: Arnoud-Jan Bijsterveld, Marc van Berkel, Jochem Commissaris, Wouter Loeff, Marc Verbeek, Abel Vierhout, Elize Weijers;'s-Hertogenbosch : Erfgoed Brabant;9789072526700 - paperback
Oorlog, onderduikers en oude klare. : Schiedam en de Neurale Organisatie;Loes Dommering-van Rongen;Schiedam : Uitgeverij Stichting Fonds Historische Publikaties Schiedam;9789070450465 - paperback
Zo klonk de bevrijding;Paul Reichenbach;[Zwolle] : Reba Productions;9789069114606 - gebonden
Erfgenamen : opgroeien in de schaduw van de oorlog;Olof van Joolen & Ilan Sluis;Amsterdam : Volt;9789062225439 - paperback
Barre zomers : kind in tijden van bezetting, verzet en hoop;Guy Prieels;"Antwerpen ; Amsterdam : Houtekiet";9789057209482 - paperback
Verholen verhalen : tweeluik over oorlogsschaamte;Willemien Spook;Haarlem : Polyvista;9789051050547 - gebonden
De negen van Ravensbrück : hoe een groep moedige verzetsvrouwen ontsnapte uit nazi-Duitsland;"Gwen Strauss ; vertaald [uit het Engels] door Irene Goes";Amsterdam : Boekerij;9789049206604 - paperback
De laatste dagen van Boedapest : spionnen, nazi's, redders en verzet in een belegerde stad, 1940-1945;"Adam Lebor ; vertaald uit het Engels door Catalien en Willem van Paassen";Amsterdam : Hollands Diep;9789048861552 - paperback
Ondernemen in oorlogstijd : Noord-Brabantse industrie tijdens de Tweede Wereldoorlog;onder redactie van Arnoud-Jan Bijsterveld en Henk van Mierlo;Amsterdam : Amsterdam University Press;9789048569335 - gebonden.
Spionnenfamilie : het ongelooflijke verhaal van een nazigezin op Hawaï en hun cruciale rol bij de aanval op Pearl Harbor;"Christine Kuehn ; tekstredactie Marianne Tieleman ; correctie Joke Jonkhoff";[Amsterdam] : Nieuw Amsterdam;9789046834626 - paperback
Dokter Satan : Het schokkende verhaal van de beruchtste seriemoordenaar in de Tweede Wereldoorlog;"Jean-Marc Dreyfus ; uit het Frans vertaald door Hans E. van Riemsdijk";Amsterdam : Nieuw Amsterdam;9789046834596 - paperback
Misvattingen over de Shoah in Nederland;Guus Luijters;[Amsterdam] : Nieuw Amsterdam;9789046833766 - paperback
Gestolen muziek : de roof van muzikaal erfgoed door de nazi's;"Anders Rydell ; vertaald Geri de Boer";Amsterdam : Uitgeverij Atlas Contact;9789045051949 - paperback
De Tweede Wereldoorlog : geïllustreerde atlas : militaire operaties en veldslagen 1939-1945;"David Jordan & Andrew Wiest ; tekst: Charles Catton, Charlotte Judet en Tom Broder ; vertaling [uit het Engels]: Alexander van Kesteren [en 3 anderen] ; redactie Nederlandstalige editie: Jaap Verschoor";Noordwijkerhout : Rebo Productions;9789036649476 - gebonden
De Kriterionmeisjes : Amsterdamse studentes in het verzet;Anna Eva Boogaard;Amsterdam : Uitgeverij De Arbeiderspers;9789029549660 - paperback
Ooggetuigen van de bevrijding : september 1944-mei 1945;Bram de Graaf;Amsterdam : Ambo|Anthos;9789026370144 - paperback
Een kwestie van uitvoering : de gemeente Amsterdam onder Duitse bezetting;Jeroen Kemperman;Amsterdam : Em. Querido's Uitgeverij BV;9789025318598 - paperback
Kroniek der Jodenvervolging, 1940-1945;"Abel J. Herzberg ; met een nawoord van Arnon Grunberg";Amsterdam : Em. Querido's Uitgeverij;9789025318512 - paperback
'Helaas heb ik in Auschwitz pech' : Nederlands personeel in de nazikampen;Hans de Vries;Amsterdam : Boom;9789024472550 - paperback
De lange bevrijding van Nederland : september 1944 - juni 1945;Christ Klep;Amsterdam : Boom;9789024470334 - paperback
De tien van Den Haag : topambtenaren tijdens de bezetting;Stephan Steinmetz;Amsterdam : Boom;9789024469956 - paperback
De ramp met de Van Imhoff : en het lot van Duitse burgers in Nederlands-Indië, 1940-1945;"Ellen Klinkers, Linda Terpstra en Maaike van der Kloet ; cartografie: Erik van Oosten";Amsterdam : Boom;9789024467433 - paperback
Verweven levens : de onderduikers en helpers van het Achterhuis;Gertjan Broek en Elias van der Plicht;Amsterdam : Em. Querido's Uitgeverij BV;9789021499109 - paperback
Kinderen in oorlogstijd;Steffie van den Oord;Amsterdam : Em. Querido's Uitgeverij BV;9789021488578 - paperback
Joods Rotterdam : vervolging, ontrechting, terugkeer en rechtsherstel;Marleen van den Berg;Amsterdam : Em. Querido's Uitgeverij BV;9789021469096 - paperback
Verzetsvrouwen : een onderbelichte geschiedenis;Agnes Cremers en Mark Bergsma;Utrecht : Alfabet Uitgevers;9789021340531 - paperback
De zomer van 1945 : van de Alpen tot de Stille Oceaan: het dramatische eindspel van de Tweede Wereldoorlog in acht capitulaties;"James Holland & Al Murray ; vertaling [uit het Engels]: Marieke van Muijden en Jan van den Berg";Tielt : Lannoo;9789020987096 - paperback
Tijdlijn van de Tweede Wereldoorlog;"vertaling [uit het Engels] Jaromir Schneider ; adviseur & medewerker Adrian Gilbert ; medewerkers Tony Allen, Kay Celtel, Michelle Chew, Jacob F. Field, Philip Parker";Tielt : Lannoo;9789020915402 - gebonden
Herdenk ons : Amerikaanse opoffering, Nederlandse vrijheid en een eeuwige belofte in de Tweede Wereldoorlog;"Robert M. Edsel ; met Bret Witter ; vertaald [uit het Engels] door Rob de Ridder";Amsterdam : Spectrum;9789000390144 - paperback
Churchill and the generals;Mike Lepine;London : Sona Books;9781917259125 - gebonden
The Soldiers' General : the biography of Lieutenant General Sir George Lea KCB, DSO, MBE, PSNB;Rupert Hague-Holmes;[Cheshire] : Barnthorn Publishing;9781917120197 - gebonden
Canada and the Netherlands : a World War II story = Canada en Nederland : een verhaal over de Tweede Wereldoorlog;"by Julia Sinke ; illustrated by Abigayle Rozendaal ; translated by Laura Janse";Canada : Tellwell Talent;9781779628084 - paperback
B-26 Marauder vs Me 262 : Europe 1945;"Robert Forsyth ; Gareth Hector";Oxford : Osprey Publishing (UK);9781472862594 - paperback
My sins go with me : a story of heroism and betrayal in the Dutch Resistance;Martin Sixsmith;London : Simon & Schuster;9781471149856 - paperback
Arnhem's last para;John Humphreys with Stuart Tootal;London : Penguin Books;9781405964258 - paperback
Remember us : American sacrifice, Dutch freedom, and a forever promise forged in World War II;"Robert M. Edsel ; with Bret Witter";[S.l.] : Harper Horizon;9781400337811 - hardcover
The Holocaust : origins, history and aftermath c.1920-1945;"Thomas Cussans ; in association with Mémorial de la Shoah ; editor: Akison Moss";London : Welbeck;9781035425365 - gebonden
A girls' guide to winning the war;Annie Lyons;London : Headline Review;9781035401116 - paperback
Armageddon : the battle for Germany 1944-45;Max Hastings;London : Pan Books;9781035022847 - paperback
Lindsay's paratroopers : India . Sicily . Serbia . Italy . D-Day . Arnhem . Rhine Crossing;John O'Reilly;Thoroton : Thoroton Publishing Limited;9780956044433 - paperback
Victory '45 : the end of the war in eight surrenders;James Holland & Al Murray;London : Bantam;9780857507952 - gebonden
The Holocaust museum and human rights : transnational perspectives on contemporary memorials;edited by Jennifer Barrett, Avril Alba, and A. Dirk Moses;Philadelphia : University of Pennsylvania Press;9780812253221 - gebonden
Rain of ruin : Tokyo, Hiroshima, and the surrender of Japan;Richard Overy;UK : Allen Lane, an imprint of Penguin Books;9780241700693 - gebonden
Hitler's people : the faces of the Third Reich;Richard J. Evans;UK : Penguin Books;9780141994437 - paperback
