titel;verantwoordelijken;impressum;isbn_bindwijze
Oliemannen : Zuid-Limburgers in Duitse krijgsdienst;"Jacquo Silvertant ; met onderzoeksbijdragen van: Tom Alessie & Lou Heynens";Valkenburg aan de Geul : [s.n.];9798898609429 - paperback
Lethal elites : the institutions and professionals that made the holocaust possible;Alex Alvarez, Richard R. Fernández;London : Bloomsbury Academic;9798765157008 - paperback
Afterbursts : reliving World War Two;Lucy Colback;Hong Kong : Borderless Publishing;9789887637080 - paperback
D-Day : de strijd om vrijheid;"tekst Isabelle Bournier, Emmanuel Marie ; dossiers Isabelle Bournier ; tekeningen Katya Bauman, Paul Gros, Chiara Di Francia, Antonino Cosentino, Domenico Carbone, Riccardo Faccini, Thomas Balard, Valette, Andrea Olimpieri ; vertaling [uit het Frans] & lettering Vincent Hoberg";Breda : Dark Dragon Books;9789494607490 - gebonden
06.06 : Normandië;Simone Foekens;Genemuiden : Uitgeverij de Toren;9789493327399 - gebonden
Kamp Miranda : hoe Nederlandse Joden, Spanje-strijders, Engelandvaarders, spionnen en nazi’s in een Spaans concentratiekamp belandden, en het overleefden;Edwin Winkels;Amsterdam : Uitgeverij Brandt;9789493319417 - paperback
Herrijzend Nederland : radio in oorlogstijd;Peter de Ruiter;Den Haag : PixelPerfect Publications;9789493271838 - paperback
De oorlog in Zuid-Holland : ontdek de belangrijkste gebeurtenissen van bezetting tot bevrijding;Robin Hageman & Niels Dewelde;[Maastricht] : BezetBevrijd;9789493084087 - gebonden
De oorlog in Limburg : ontdek de belangrijkste gebeurtenissen van bezetting tot bevrijding;Robin Hageman & Niels Dewelde;[Maastricht] : BezetBevrijd;9789493084001 - Boek
Schrijven over vernietiging : Sem Dresden en de Holocaust vanuit meervoudig perspectief;"Tommy van Avermaete, Goran Bouaziz en Bram Ieven (red.) ; Arnon Grunberg [en 11 anderen]";Almere : Uitgeverij Verbum;9789493028821 - gebonden
De vergeten gezichten van Brabant: : tussen oorlog en vrede;Ben Damen;Woudrichem : Pictures Publishers;9789492576903 - gebonden
De 23 geallieerde piloten begraven in Lichtenvoorde : de Luchtoorlog boven Oost Gelre 1940-1945;Roland M. Drs. Bonsen;Lichtenvoorde : Stichting 4 en 5 mei Lichtenvoorde;9789491705335 - gebonden
Wat is vrijheid? : tachtig jaar vrij in Drenthe;Kees Opmeer;[Meppel] : Stichting Cultuurfilms Drenthe;9789491524424 - gebonden
Nachtjacht, Bunker Diogenes en de Blitzmeisjes;"Hennie Vaessen ; inkleuring: Tine Bouwhuis en Hennie Vaessen";Oosterbeek : PelikaanPers;9789490000219 - gebonden
100 jaar familie : wat doen oorlog en vervolging met vijf generaties uit één familie?;Sivan Behr;Soest : Boekscout;9789465094496 - paperback
Narvik april-juni 1940 : de Duitse inval in Noorwegen en de Britse interventie;Bas de Groot;Soesterberg : Uitgeverij Aspekt;9789464873771 - paperback
Stille kogels : een laatste eer en groet;"Geartsje Pols ; redactie: Loes Bakker";Soesterberg : Uitgeverij Aspekt;9789464873115 - paperback
De 19 treinen naar Sobibor;"Dr. Elie A. Cohen ; redactie en aanvullende annotatie: Dan Cohen";Gorredijk : Noordhoek;9789464713725 - paperback
Sprekende stenen : Stolpersteine in Zwolle;onder redactie van Piet den Otter en Anneke van der Wurff;Gorredijk : Noordboek - Van Gorcum;9789464712926 - gebonden
Eindstrijd Delfzijl : de laatste Duitse weerstand op Nederlandse bodem;"Henk Jan Dodde en Franz Lenselink ;  kaarten: Menno Faber";Gorredijk : Noordboek-Van Gorcum;9789464712902 - gebonden
Oorlog aan de dijk 1940-1945 : bezetting en bevrijding in de gemeente Eemsdelta;Harold de Jong;Gorredijk : Noordboek - Van Gorcum;9789464712896 - gebonden
Mensenjacht : het optreden van de Sicherheitspolizei in Drenthe tijdens de Tweede Wereldoorlog;Marcel Zantingh;Gorredijk : Noordboek-Van Gorcum;9789464712483 - gebonden
Volchov : Nóvgorod, juli 1941;"Daniel Ortega & Antonio Gil ; vertaling [uit het Spaans]: Vincent Hoberg";Breda : Dark Dragon Books;9789464608014 - gebonden
De kleermakers van de nazi's : de razzia bij de joodse regenjassenfabriek Hollandia Kattenburg;"Annemieke van Bockxmeer ; kaarten Wouter Veldhuis en Rob Giesendorf";Zutphen : Uitgeverspersmaatschappij Walburg Pers;9789464566154 - paperback
Kamp Vught 1942-1944 : daders en drijfveren ;"Bert Oomen ; redactie Prof dr. Arnoud-Jan Bijsterveld, Jan Brouwers, Drs. Jeroen Ketelaars, Drs. Lauran Toorians";Zutphen : Walburg Pers;9789464565447 - gebonden
PSV tijdens de Tweede Wereldoorlog;Joris Kaper;Zutphen : Walburg Pers;9789464565096 - paperback
