titel;verantwoordelijken;impressum;isbn_bindwijze
In de schaduw van de zon : een waargebeurd verhaal tijdens de Japanse bezetting van voormalig Nederlands-Indië;"Marney Blom ; vertaler [uit het Engels]: Tobya Jong ; redactie: Uitgeverij Gideon";Hoornaar : Uitgeverij Gideon;9789059992801 - paperback
Soldaat in verzet : de belofte die Jan Verleun het leven kostte;Do du Preez-Verleun, Pauline Wesselink;Schoorl : Conserve;9789054291817 - paperback
Zuster Jo : Verzet in Groningen;"Robert Sikkes ; illustraties Peter van Dorst";Groningen : Uitgeverij Profiel;9789052946412 - geb.
Morgen is het vrijdagavond : over de oorlog en de jaren erna : een familiekroniek;"Erik Weersing ; Hans Lakerveld";Groningen : Uitgeverij Profiel;9789052946399
Nonny;Ika van Doorn;Amsterdam : Lebowski;9789048875436 - paperback
De verraadster;Erik Schaap;Amsterdam : Uitgeverij Rainbow bv;9789041716194 - paperback
Enkele reis Sobibor : de briefkaarten van mijn grootmoeder;Guida Joseph;Amsterdam : Nijgh & Van Ditmar;9789038815824 - paperback
De oorlog in stukjes;"S. Carmiggelt ; samengesteld door Frank Carmiggelt";Amsterdam : Uitgeverij De Arbeiderspers;9789029553919 - paperback
De feestzaal van mijn ouders : een Vlaamse familiegeschiedenis;Els Snick;Amsterdam : Uitgeverij Van Oorschot;9789028252080 - paperback
De staljongen van Auschwitz;"Henry Oster en Dexter Ford ; vertaald [uit het Engels] door Els Franci-Ekeler";Utrecht : De Fontein;9789026178108 - paperback
Absent : herinneringen aan het Joods Lyceum Amsterdam, 1941-1943;"Dienke Hondius ; met medewerking van Miep Gompes-Lobatto";Amsterdam : Em. Querido's Uitgeverij bv;9789025320928 - paperback
Strepen aan de hemel en andere oorlogsherinneringen;"G.L. Durlacher ; met een voorwoord van Arnon Grunberg";Amsterdam : Em. Querido's Uitgeverij BV;9789025319892 - paperback
Over de rand laait vuur : mijn ouders en de oorlog;Chris van der Heijden;Amsterdam : Boom;9789024470761 - paperback
Tante Bertha : de val van een Rotterdamse verzetsmoeder;Gerard Groeneveld;Amsterdam : Boom;9789024467877 - paperback
De Hacquartstraat : herinneringen aan goed en kwaad in Oud-Zuid;John Kleinen;Amsterdam : Koninklijke Boom Uitgevers;9789024467419 - paperback
Mijn twee moeders;Stefan Skotnicki & Dore van Duivenbode;Utrecht : Alfabet Uitgevers;9789021341989 - gebonden
Niet meer dan een nummer;Elsbeth de Jager;[Alkmaar] : Kluitman;9789020654424
Liefdesbrieven van een kampbeul : het waargebeurde verhaal van een ontsnapte Nederlandse SS’er, een secretaresse uit Kamp Amersfoort en de zoektocht van hun zoon naar de waarheid;Rik Kuiper;Amsterdam : Spectrum;9789000395477 - paperback
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
