titel;verantwoordelijken;impressum;isbn_bindwijze
A dance for the king;Anton Du Beke;London : Orion;9781398722262 - paperback
The Nightingale;Kristin Hannah;London : Macmillan;9781035063338 - gebonden
Rooms for vanishing;Stuart Nadler;London : Picador;9781035061211 - paperback
No country for love;Yaroslav Trofimov;London : Abacus Books;9780349145341 - paperback
This strange eventful history : a novel;Claire Messud;London : Fleet;9780349127071 - paperback
Grave of the fireflies;"Akiyuki Nosaka ; translated [from the Japanese] by Ginny Tapley Takemori";UK : Penguin Books;9780241780213 - paperback
For the ones you love;"Jeremy Dronfield ; illustrated by Raquel Lagartos";London : Puffin Books;9780241675519 - paperback
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
