titel;verantwoordelijken;impressum;isbn_bindwijze
De lange weg naar vrijheid;"Hennie Vaessen ; inkleuring: Tine Bouwhuis en Hennie Vaessen";Oosterbeek : PelikaanPers;9789490000226 - gebonden
Paradijs;"scenario Jean-Claude Van Rijckeghem ; tekeningen en inkleuring Thomas Du Caju ; vertaling [uit het Frans] Frederik Van Wonterghem";'s-Hertogenbosch : Silvester;9789464842579 - gebonden
Het rode dekbed;"tekeningen Dominique Bertail ; scenario JD Morvan & Madeleine Riffaud ; archieven Éloise de La Maison ; vertaling [uit het Frans]: Christophe Deconinck";Genk : Daedalus;9789463949538 - paperback
V= victorie;tekst en illustraties: Roelof Wijtsma;[Elburg] : Uitgeverij Illuster;9789463351706 - paperback
Voor Joden verboden;tekst en illustraties: Roelof Wijtsma;[Elburg] : Uitgeverij Illuster;9789463351690 - paperback
Vreemde soldaten;tekst en illustraties: Roelof Wijtsma;[Elburg] : Uitgeverij Illuster;9789463351591 - paperback
Mylaine;"scenario Marion Achard ; tekeningen en inkleuring Toni Galmés ; vertaling [uit het Frans]: Frank Vanzeer";Genk : Uitgeverij Daedalus;9789088101144 - gebonden
De dochter van de putdelver;"scenario Éric Stoffel ; tekeningen Emilio Van der Zuiden ; inkleuring Albertine Ralenti";Zedelgem : Saga Uitgaven;9789085528395 - gebonden
Uit duijzend : een onderduikverhaal van Leni Duijzend;"Renaat van Vuuren en Willem van Norel ; tekeningen: Renaat van Vuuren ; tekstredactie: Anneke de Reuver en Pauline Land";Elburg : Arent thoe Boecop;9789083553900 - paperback
Getekend door de Holocaust;"Cojean, journalist ; Baudouin, tekening ; Rojzman, scenario ; vertaling [uit het Frans] Peter Ingelbrecht";[Marcinelle] : Dupuis;9789031442058 - gebonden
Een Robbedoesvriend heeft karakter. Ja is ja, nee blijft nee!;"scenario Jean-David Morvan ; tekeningen David Evrard ; met de hulp en inkleuring van Ben BK ; dossier: Christelle Pissavy-Yvernault ; vertaling [uit het Frans] en lettering: the house of Boom!";[Marcinelle] : Dupuis;9789031441730 - paperback
De 3e Kamera;"scenario Cédric Apikian ; tekeningen Denis Rodier ; inkleuring Élise Follin ; historich dossier verzorgd door Nicolas Ferard ; vertaling [uit het Frans]: James Vandermeersch";Antwerpen : Standaard Uitgeverij;9789002285646 - gebonden
The boy who didn't want to die : a graphic memoir;"Peter Lantos ; illustrated by Victoria Stebleva";London : Scholastic;9780702334467 - paperback
